,features,coef,abs_coef
3,Overall Qual,22486.80498431722,22486.80498431722
15,Gr Liv Area,14074.357629263017,14074.357629263017
5,Year Built,10948.144678939756,10948.144678939756
12,1st Flr SF,9996.95234673319,9996.95234673319
25,Garage Cars,8366.363037361414,8366.363037361414
20,Bedroom AbvGr,-7579.361566361367,7579.361566361367
13,2nd Flr SF,7359.706674612047,7359.706674612047
22,TotRms AbvGrd,7316.840528155153,7316.840528155153
0,MS SubClass,-6509.950102330738,6509.950102330738
7,Mas Vnr Area,5643.727355678333,5643.727355678333
24,Garage Yr Blt,-5594.626794433798,5594.626794433798
4,Overall Cond,4610.552271050086,4610.552271050086
6,Year Remod/Add,4536.3515800952155,4536.3515800952155
16,Bsmt Full Bath,4364.577633885594,4364.577633885594
27,Wood Deck SF,4005.666647105405,4005.666647105405
8,BsmtFin SF 1,3968.3740812565666,3968.3740812565666
32,Pool Area,-3921.9963593806606,3921.9963593806606
21,Kitchen AbvGr,-3854.174463009491,3854.174463009491
11,Total Bsmt SF,3550.0403788709664,3550.0403788709664
23,Fireplaces,3064.9503520856524,3064.9503520856524
31,Screen Porch,2990.8223983880816,2990.8223983880816
2,Lot Area,2566.0014278032468,2566.0014278032468
26,Garage Area,2065.5442662211426,2065.5442662211426
18,Full Bath,1336.2828653243341,1336.2828653243341
34,Mo Sold,1317.089246525662,1317.089246525662
35,Yr Sold,-1108.286415254368,1108.286415254368
29,Enclosed Porch,1080.653870417198,1080.653870417198
19,Half Bath,-875.6672249778494,875.6672249778494
1,Lot Frontage,802.0566388720763,802.0566388720763
30,3Ssn Porch,783.5854518722808,783.5854518722808
14,Low Qual Fin SF,-675.5684761271223,675.5684761271223
10,Bsmt Unf SF,-672.5437730123158,672.5437730123158
28,Open Porch SF,605.1569456002617,605.1569456002617
9,BsmtFin SF 2,324.27459289001854,324.27459289001854
17,Bsmt Half Bath,-262.86882264367296,262.86882264367296
33,Misc Val,-1.5461647398624336,1.5461647398624336
